feature,importance
NoOfExternalRef,0.24666910631455932
NoOfSelfRef,0.14905981974717544
NoOfImage,0.131501724078408
LineOfCode,0.12216566579293447
NoOfJS,0.08441073241810379
NoOfCSS,0.06217528288807431
HasSocialNet,0.058648244659711427
HasCopyrightInfo,0.04513007589220295
HasDescription,0.03139394105132564
DomainTitleMatchScore,0.022832072366811593
HasSubmitButton,0.014221844505066016
LargestLineLength,0.011329606816103597
URLTitleMatchScore,0.010980424824563417
HasPasswordField,0.002080301718295973
IsResponsive,0.0017716674942396893
NoOfEmptyRef,0.001337045490200915
HasFavicon,0.0008050716593068523
HasHiddenFields,0.0007960834618047249
Bank,0.0006573711887138088
NoOfiFrame,0.0005153840184945285
NoOfURLRedirect,0.0004932894571800346
Pay,0.0003484506040536847
Robots,0.00019938521453663501
NoOfPopup,0.00018543439485638958
HasTitle,0.00011708175503618975
Crypto,0.00010839069329311859
HasExternalFormSubmit,4.890356895174011e-05
NoOfSelfRedirect,1.7597925995845192e-05
