feature,importance
uses_https,0.22381807861605746
uses_http,0.19322535726285842
num_slashes,0.12484908054679798
path_depth,0.10656670221964792
path_length,0.0921075961209465
digit_ratio,0.0396043350177081
brand_similarity_subdomain,0.039324418814033736
trailing_slash,0.03370346611779301
url_length,0.020413971227439313
brand_similarity_path,0.01897753813618659
url_entropy,0.01716558633926817
has_numbers_in_domain,0.01535231376733532
subdomain_count,0.013640132627919186
domain_length,0.012209992823673186
letter_ratio,0.010275431548292377
num_dots,0.006905288454273758
has_subdomain,0.006689596962886112
has_suspicious_tld,0.00569577966574704
domain_entropy,0.005280545084392794
domain_name_length,0.003996504687024365
special_char_ratio,0.0023604928964808844
num_hyphens,0.002273081832120023
brand_similarity_registered,0.0017619948419087138
tld_length,0.0014099565687312212
has_suspicious_keywords,0.001043590124002247
num_question_marks,0.0005835634411651342
has_file_extension,0.0002863127700068569
brand_mismatch,0.00021813019891230622
brand_in_registered_domain,8.349292102108792e-05
brand_in_subdomain,6.792419773474943e-05
suspicious_brand_usage,4.716457673197245e-05
num_equals,2.117228581609259e-05
brand_homograph,1.528570016182105e-05
has_shortener,1.1073590962437464e-05
query_length,8.095045577119166e-06
num_underscores,2.4537511304810597e-06
brand_in_path_or_query,1.9030217617869155e-06
has_at_symbol,1.3308914567892026e-06
num_params,4.770781038697897e-07
num_percentages,4.5793788961290404e-07
suspicious_file_ext,3.3028804339965113e-07
has_suspicious_params,0.0
has_port,0.0
num_ampersands,0.0
obfuscation_ratio,0.0
has_ip,0.0
double_slash,0.0
has_obfuscation,0.0
has_mixed_case,0.0
num_obfuscated_chars,0.0
